,date,currency,offer(cash),bid(cash),offer(spot),bid(spot)
86,2020/08/28,AUD,21.17,21.95,21.44,21.67
87,2020/08/27,AUD,21.0,21.78,21.27,21.5
88,2020/08/26,AUD,20.85,21.63,21.12,21.35
89,2020/08/25,AUD,20.75,21.53,21.02,21.25
90,2020/08/24,AUD,20.8,21.58,21.07,21.3
91,2020/08/21,AUD,20.81,21.59,21.08,21.31
92,2020/08/20,AUD,20.76,21.54,21.03,21.26
93,2020/08/19,AUD,21.04,21.82,21.31,21.54
94,2020/08/18,AUD,20.92,21.7,21.19,21.42
95,2020/08/17,AUD,20.8,21.58,21.07,21.3
96,2020/08/14,AUD,20.72,21.5,20.99,21.22
97,2020/08/13,AUD,20.76,21.54,21.03,21.26
98,2020/08/12,AUD,20.65,21.43,20.92,21.15
99,2020/08/11,AUD,20.77,21.55,21.04,21.27
100,2020/08/10,AUD,20.71,21.49,20.98,21.21
101,2020/08/07,AUD,20.9,21.68,21.17,21.4
102,2020/08/06,AUD,20.79,21.57,21.06,21.29
103,2020/08/05,AUD,20.85,21.63,21.12,21.35
104,2020/08/04,AUD,20.69,21.47,20.96,21.19
105,2020/08/03,AUD,20.62,21.4,20.89,21.12
106,2020/07/31,AUD,20.84,21.62,21.11,21.34
107,2020/07/30,AUD,20.7,21.48,20.97,21.2
108,2020/07/29,AUD,20.79,21.57,21.06,21.29
109,2020/07/28,AUD,20.63,21.41,20.9,21.13
110,2020/07/27,AUD,20.65,21.43,20.92,21.15
111,2020/07/24,AUD,20.52,21.3,20.79,21.02
112,2020/07/23,AUD,20.72,21.5,20.99,21.22
113,2020/07/22,AUD,20.64,21.42,20.91,21.14
114,2020/07/21,AUD,20.43,21.21,20.7,20.93
115,2020/07/20,AUD,20.27,21.05,20.54,20.77
116,2020/07/17,AUD,20.26,21.04,20.53,20.76
117,2020/07/16,AUD,20.3,21.08,20.57,20.8
118,2020/07/15,AUD,20.32,21.1,20.59,20.82
119,2020/07/14,AUD,20.11,20.89,20.38,20.61
120,2020/07/13,AUD,20.21,20.99,20.48,20.71
121,2020/07/10,AUD,20.16,20.94,20.43,20.66
122,2020/07/09,AUD,20.27,21.05,20.54,20.77
123,2020/07/08,AUD,20.15,20.93,20.42,20.65
124,2020/07/07,AUD,20.14,20.92,20.41,20.64
125,2020/07/06,AUD,20.19,20.97,20.46,20.69
126,2020/07/03,AUD,20.13,20.91,20.4,20.63
127,2020/07/02,AUD,20.1,20.88,20.37,20.6
128,2020/07/01,AUD,20.06,20.84,20.33,20.56
